source,folder,category,detail
validation_minutes,20260915_2144,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2145,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2145,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2146,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2146,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2147,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2147,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2148,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2148,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2149,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2149,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2150,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2150,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2151,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2151,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2152,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2152,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2153,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2153,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2154,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2154,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2155,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2155,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2156,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2156,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2157,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2157,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2158,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2158,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2159,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2159,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2200,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2200,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2201,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2201,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2202,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2202,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2203,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2203,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2204,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2204,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2205,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2205,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2206,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2206,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2207,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2207,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2208,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2208,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2209,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2209,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2210,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2210,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2211,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2211,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2212,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2212,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2213,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2213,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2214,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2214,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2215,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2215,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2216,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2216,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2217,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2217,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2218,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2218,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2219,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2219,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2220,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2220,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2221,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2221,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2222,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2222,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2223,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2223,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2224,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2224,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2225,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2225,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2226,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2226,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2227,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2227,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2228,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2228,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2229,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2229,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2230,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2230,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2231,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2231,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2232,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2232,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2233,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2233,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2234,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2234,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2235,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2235,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2236,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2236,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2237,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2237,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2238,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2238,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2239,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2239,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2240,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2240,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2241,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2241,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2242,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2242,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2243,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2243,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2244,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2244,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2245,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2245,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2246,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2246,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2247,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2247,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2248,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2248,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2249,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2249,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2250,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2250,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2251,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2251,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2252,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2252,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2253,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2253,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2254,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2254,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2255,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2255,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2256,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2256,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2257,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2257,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2258,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2258,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2259,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2259,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2300,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2300,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2301,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2301,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2302,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2302,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2303,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2303,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2304,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2304,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2305,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2305,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2306,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2306,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2307,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2307,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2308,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2308,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2309,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
validation_minutes,20260915_2309,missing_xytracking,no xy-tracking.json
validation_minutes,20260915_2309,chunk_count_mismatch,expected_chunks=58 but 34 radar_*.bin on disk
test_minutes,20260916_2210,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2210,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2211,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2211,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2212,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2212,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2213,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2213,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2214,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2214,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2215,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2215,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2216,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2216,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2217,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2217,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2218,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2218,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2219,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2219,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2220,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2220,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2221,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2221,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2222,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2222,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2223,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2223,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2224,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2224,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2225,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2225,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2226,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2226,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2227,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2227,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2228,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2228,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2229,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2229,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2230,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2230,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2231,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2231,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2232,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2232,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2233,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2233,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2234,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2234,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2235,leftover_tmp,1 .tmp file(s): .capture.npz.41917.tmp
test_minutes,20260916_2235,unknown_label,label 'collecting' not in taxonomy
test_minutes,20260916_2235,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2235,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2235,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
test_minutes,20260916_2236,unknown_label,label 'collecting' not in taxonomy
test_minutes,20260916_2236,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2236,corrupt_bin,radar_030_20260916_223631_432.bin: empty file
test_minutes,20260916_2236,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2236,chunk_count_mismatch,expected_chunks=58 but 31 radar_*.bin on disk
test_minutes,20260916_2238,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2238,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2239,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2239,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2240,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2240,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2241,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2241,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2242,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2242,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2243,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2243,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2244,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2244,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2245,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2245,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2246,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2246,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2247,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2247,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2248,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2248,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2249,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2249,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2250,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2250,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2251,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2251,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2252,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2252,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2253,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2253,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2254,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2254,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2255,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2255,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2256,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
test_minutes,20260916_2256,missing_xytracking,no xy-tracking.json
test_minutes,20260916_2257,manifest_error,Sense HAT capture failed: Cannot detect RPi-Sense FB device
